Date,us_Trade Weighted Dollar Index,kr_fx,jp_fx,us_ret,kr_ret,jp_ret,kr_us_spread,jp_us_spread,kr_jp_spread,corr_us_kr,corr_us_jp,corr_kr_jp,us_ret_lag1,kr_ret_lag1,jp_ret_lag1,US_Interest_Rate,KR_Interest_Rate,JP_Interest_Rate,US_GDP,KR_GDP,JP_GDP,US_CPI,KR_CPI,JP_CPI,US_Employment,KR_Employment,JP_Employment,US_Unemployment,KR_Unemployment,JP_Unemployment,US_Trade_Balance,KR_Trade_Balance,JP_Trade_Balance
2011-01,90.1112,1120.07,82.6111,-0.0079606944687071,-0.0017245928472782,-0.0013724277465829,0.0062361016214289,0.0065882667221242,-0.0003521651006952,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.0079606944687071,-0.0017245928472782,-0.0013724277465829,0.17,2.66,0.085,3837862.0,355795000.0,125410750.0,0.4763,1.1885,-0.1,130837.0,23714100.0,63116670.0,9.1,3.6667,4.7333,-48123.0,12689740000000.0,744358000000.0
2011-02,88.6822,1116.2100000000003,82.3845,-0.0079606944687071,-0.0017245928472782,-0.0013724277465829,0.0062361016214289,0.0065882667221242,-0.0003521651006952,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.0079606944687071,-0.0017245928472782,-0.0013724277465829,0.15,2.84,0.10099999999999999,3837861.9999999995,355795000.0,125410750.0,0.5099,0.1797000000000002,0.1,131274.99999999997,23714100.0,63116670.0,8.9,3.6667,4.7333,-41382.99999999999,12689740000000.0,744358000000.0
2011-03,87.9311375,1115.4500000000003,82.16040625000001,-0.008385412998568868,-0.0006798806186024563,-0.002722464802733406,0.007705532379966412,0.005662948195835443,0.0020425841841310312,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.0079606944687071,-0.0017245928472782,-0.0013724277465829,0.138125,2.945,0.10599999999999998,3837861.9999999995,355795000.0,125410750.0,0.6139249999999999,-0.2854187499999997,0.23750000000000002,131495.31249999994,23714100.0,63116670.0,8.818750000000001,3.6667,4.7333,-38562.1875,12689740000000.0,744358000000.0
2011-04,87.01999921875,1108.3896250000003,82.247433828125,-0.01024565053515409,-0.006388346748058096,0.0010455427131587126,0.003857303787095993,0.011291193248312783,-0.007433889461216766,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.008385412998568868,-0.0006798806186024563,-0.002722464802733406,0.1206015625,3.0501875,0.10514999999999998,3847522.525,356293881.25,125068478.125,0.6537903124999999,-0.7101652343749996,0.31921875,131733.64140624992,23929143.75,63066045.0,8.775234375,3.6041875,4.720812499999999,-36075.05234375,11412841000000.0,294835750000.0
2011-05,86.24652170898437,1100.9614453125002,81.97080350097656,-0.008710673254175863,-0.006735248092578392,-0.0033741227987246843,0.0019754251615974683,0.005336550455451139,-0.003361125293853684,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.01024565053515409,-0.006388346748058096,0.0010455427131587126,0.10305908203124999,3.1399648437499996,0.10412187499999997,3857303.8065625,356798998.515625,124721927.8515625,0.6547736914062497,-1.023081049804687,0.361708984375,131951.15942382807,24146875.546875,63014787.1875,8.731674804687499,3.54089359375,4.708168906249999,-35153.86049804688,10119980762500.0,-160305528125.0
2011-06,85.61433626159668,1093.5685633789064,81.56914509161375,-0.007133642681130284,-0.006714622479715291,-0.0049232705048470665,0.0004190202014149975,0.002210372176283186,-0.0017913519748682168,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.008710673254175863,-0.006735248092578392,-0.0033741227987246843,0.0876582580566406,3.2455269042968746,0.10193089843749996,3866820.933144531,357290474.4970703,124384736.57470703,0.5404143000488278,-1.2433402035522456,0.3467615966796875,132169.34376037592,24358727.241210938,62964913.65234375,8.723461364746091,3.4793090136718745,4.695866767578124,-35246.70266052247,8862035732031.25,-603155182226.5625
2011-07,85.00984852150727,1082.7415426086427,80.97912908146986,-0.006865970160573895,-0.009944310766515477,-0.007286547107239407,-0.003078340605941576,-0.00042057694666554064,-0.002657763659276076,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.007133642681130284,-0.006714622479715291,-0.0049232705048470665,0.0709053730010986,3.3447973968505855,0.09958365966796871,3879981.985746338,358658506.2876587,124547577.93032837,0.4556207811431882,-1.322592726604461,0.3510527572631836,132357.4875554275,24541267.659851074,62915585.76049805,8.711850139617917,3.4152430325927727,4.6468161959228516,-35159.692148857124,8043665378681.641,-833823281379.3945
2011-08,84.65392587287474,1075.2301421060945,80.01020591366742,-0.004044801414520922,-0.00686204753457963,-0.012142957854021169,-0.0028172461200587206,-0.008098156439500273,0.0052809103194415225,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.006865970160573895,-0.009944310766515477,-0.007286547107239407,0.062256469216346706,3.4241224131393424,0.09809161947631832,3892366.555992386,359995044.3238716,124745794.22271919,0.40488301078052497,-1.286723893951177,0.3602857653617859,132528.4914978928,24705143.22845077,62870572.46141052,8.712786218023298,3.356465334953308,4.598368852668762,-35303.99475835944,7339443339133.911,-1023588455107.5745
2011-09,84.96561815130428,1077.28819634995,79.01013931377284,0.0035021601301009468,0.0018678520664574519,-0.012579403197676756,-0.0016343080636435263,-0.016081563327777722,0.014447255264134179,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,-0.004044801414520922,-0.00686204753457963,-0.012142957854021169,0.05257028340369459,3.4850190864920605,0.09599494958305355,3903626.694851812,361254692.4925074,124966646.10039942,0.33366529306799153,-1.3266894901727164,0.3396231060445309,132699.7764178173,24847008.340693615,62830914.56488323,8.724352401491997,3.304386841899013,4.552251028927707,-35496.889672997924,6758655692800.819,-1171469948209.9932
2011-10,85.57488840729548,1087.4946100941042,78.06632747959596,0.00682289870457985,0.009073297749973213,-0.01189201392680372,0.0022503990453933147,-0.018714912631383602,0.0209653116767769,0.7847807271650654,-0.1123886009375289,-0.2743396124282037,0.0035021601301009468,0.0018678520664574519,-0.012579403197676756,0.04349063983530174,3.5260930430984185,0.09380046956441397,3922629.7118253815,363853616.2173788,125222414.09266265,0.19916653452228839,-1.332111891079548,0.3280739791481942,132871.214484085,24961707.74832402,62816045.931651905,8.70702044238444,3.2474493662316495,4.509842715163021,-36341.10448770321,6378327067437.66,-1371916881789.1743
